Away Team,Away Score,Home Team,Home Score,Week
Texans,20,Chiefs,34,1
Raiders,34,Panthers,30,1
Browns,6,Ravens,38,1
Bears,27,Lions,23,1
Packers,43,Vikings,34,1
Jets,17,Bills,27,1
Seahawks,38,Falcons,25,1
Dolphins,11,Patriots,21,1
Colts,20,Jaguars,27,1
Eagles,17,Football Team,27,1
Chargers,16,Bengals,13,1
Buccaneers,23,Saints,34,1
Cardinals,24,49ers,20,1
Cowboys,17,Rams,20,1
Steelers,26,Giants,16,1
Titans,16,Broncos,14,1
